#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
166.,Erkan Yilmaz,EFE,28,15.5,4.9,1.9,3.5,536,0.7,1.5,452,0.5,0.9,625,0.8,2.5,3.4,2.0,0.9,0.4,0.9,2.0
167.,Maxwell Lewis,TOF,21,13.0,4.9,1.8,3.6,507,0.8,1.5,531,0.5,0.5,909,0.5,1.9,2.3,0.7,0.6,0.2,0.5,1.0
168.,Rodrigue Beaubois,EFE,14,13.9,4.7,1.5,3.9,389,0.7,2.3,313,1.0,1.3,778,0.1,0.9,0.9,1.1,0.7,0.5,0.9,1.4
169.,Berk Demir,TRA,30,21.8,4.6,1.8,4.4,417,0.9,2.7,350,0.0,0.3,111,1.0,2.7,3.6,1.3,0.4,0.3,0.6,2.7
170.,Daniel Utomi,SOC,13,13.1,4.4,1.6,3.4,477,1.1,2.2,483,0.1,0.2,500,0.0,1.6,1.6,0.2,0.2,0.0,0.8,1.7
171.,Goksenin Koksal,BURS,11,21.9,4.4,1.9,4.5,429,0.3,1.9,143,0.3,1.1,250,0.7,1.4,2.1,2.1,1.6,0.0,0.8,2.5
172.,Berk Akin,BURS,28,14.8,4.3,1.4,4.6,305,0.7,3.0,241,0.8,1.0,793,0.3,1.5,1.8,0.8,0.6,0.1,0.7,1.7
173.,Furkan Haltali,BAHC,24,13.7,4.2,1.6,2.6,613,0.0,0.0,0,1.0,1.9,556,1.2,1.6,2.8,0.5,0.5,0.7,0.8,2.4
174.,Khem Birch,FEN,20,17.1,4.2,1.6,2.8,564,0.0,0.1,0,1.1,1.9,553,1.6,2.2,3.8,0.9,0.8,0.5,0.6,2.2
175.,Ahmet Duverioglu,ENEN,29,10.7,4.0,1.6,2.9,541,0.0,0.0,0,0.9,1.2,694,1.2,1.3,2.5,0.8,0.4,0.2,0.7,2.4
176.,Leon Harun Apaydin,MER,25,12.5,4.0,1.4,3.0,453,0.9,2.1,415,0.4,0.7,529,0.1,1.0,1.1,1.0,0.6,0.0,0.3,1.7
177.,Hakan Sayili,MER,10,9.8,3.9,1.7,2.5,680,0.3,0.5,600,0.2,0.4,500,1.0,0.7,1.7,0.4,0.4,0.2,0.4,1.8
178.,Mike Myers,DEM,10,12.2,3.8,1.3,3.3,394,0.0,0.0,0,1.2,2.8,429,1.2,1.8,3.0,0.5,0.2,0.4,1.2,2.0
179.,Troy Sav,SOC,29,15.1,3.6,1.4,3.2,447,0.1,0.9,115,0.6,0.9,667,1.1,2.6,3.6,0.7,0.3,0.1,0.6,2.4
180.,Can Kaan Turgut,DEM,26,11.0,3.5,1.3,2.9,447,0.3,1.2,258,0.6,0.9,625,0.5,0.7,1.2,0.5,0.2,0.0,0.5,1.3
181.,Mert Celep,PIN,30,13.3,3.4,1.0,2.3,456,0.1,0.3,500,1.2,1.8,673,0.8,1.8,2.6,0.7,0.4,0.0,0.5,2.1
182.,Efe Tirpanci,MER,28,16.7,3.4,1.2,4.2,280,0.5,2.3,219,0.6,0.9,667,0.8,1.6,2.4,1.0,0.6,0.4,0.4,2.7
183.,Ozgur Cengiz,TOF,29,11.6,3.4,1.1,2.9,365,0.4,1.7,250,0.9,1.1,781,0.3,0.7,1.0,1.4,0.4,0.1,0.6,1.7
184.,Nemanja Gordic,PIN,26,16.7,3.4,1.3,3.1,420,0.3,1.2,267,0.5,0.9,522,0.3,1.0,1.3,3.5,0.4,0.0,1.7,1.3
185.,Emre Tanisan,MERK,30,11.9,3.4,1.2,2.9,430,0.4,1.2,343,0.5,0.6,833,0.7,1.4,2.1,0.6,0.4,0.1,0.8,1.7
186.,Canberk Kus,BES,18,10.7,3.3,1.1,2.6,426,0.6,1.4,385,0.6,0.8,714,0.7,1.1,1.8,0.7,0.3,0.3,0.3,1.9
187.,Goktug Bas,BAHC,26,10.3,3.2,1.3,2.9,440,0.3,1.1,250,0.3,0.7,474,1.2,0.8,2.0,0.7,0.2,0.2,0.2,1.5
188.,Ata Kahraman,TUR,23,8.7,3.0,1.1,2.5,456,0.8,1.7,462,0.0,0.0,0,0.1,0.8,1.0,1.0,0.3,0.1,0.3,1.0
189.,Mustafa Kurtuldum,SOC,24,11.7,3.0,1.0,2.8,358,0.3,1.3,200,0.8,0.9,864,0.2,1.0,1.2,0.6,0.3,0.0,0.8,1.4
190.,Ridvan Oncel,GAL,26,12.6,2.9,1.0,2.4,429,0.3,1.0,360,0.5,0.5,857,0.5,1.0,1.5,1.5,0.4,0.0,0.8,1.7
191.,Egemen Guven,MERK,11,5.9,2.5,1.2,1.6,722,0.1,0.1,1.000,0.1,0.2,500,0.2,1.1,1.3,0.3,0.1,0.1,0.9,0.8
192.,Metin Turen,DEM,29,15.4,2.4,0.9,2.7,321,0.4,1.5,250,0.3,0.7,474,0.6,2.6,3.2,0.6,0.3,0.3,0.5,1.8
193.,Bugra Cal,MANI,29,10.5,2.3,0.9,2.2,391,0.3,1.2,235,0.3,0.4,692,0.4,1.7,2.1,0.7,0.4,0.4,0.8,1.8
194.,Yesukan Onar,BURS,26,9.4,2.1,1.0,2.0,481,0.0,0.3,0,0.2,0.4,400,0.5,0.6,1.2,0.2,0.3,0.1,0.3,2.1
