#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER
211.,Rodions Kurucs,BASK,564,545,152.2,9.0,14.0,11.5,11.5,19.3,2.3,0.2,18.2,-2.6,1.2,106.8,120.4,-13.6,133.0,11.4
212.,Daulton Hommes,PAR,662,634,167.6,5.3,13.0,9.0,6.8,14.6,1.1,2.0,13.6,-1.4,1.5,127.2,120.4,6.9,67.4,11.3
213.,Niels Giffey,BAY,575,535,164.9,6.1,8.3,7.2,9.2,11.2,1.8,0.3,16.3,0.0,1.3,117.4,118.6,-1.2,86.6,11.3
214.,Rolands Smits,EFE,595,568,156.2,6.8,15.7,11.2,7.0,12.5,1.0,0.5,16.8,-1.7,1.3,114.6,119.8,-5.2,139.1,11.2
215.,Nate Sestina,MIL,502,483,159.1,4.8,8.1,6.4,6.1,0.0,2.7,0.0,18.1,2.5,1.0,114.7,119.1,-4.5,15.0,11.2
216.,Josep Puerto,VAL,596,578,158.4,5.1,14.7,9.8,5.6,8.9,1.2,0.4,13.7,-0.1,1.3,123.6,115.9,7.7,146.3,11.1
217.,P.J. Dozier,EFE,466,440,142.8,3.8,11.4,7.5,21.1,13.2,2.7,0.8,27.1,0.4,1.0,95.1,115.2,-20.1,122.5,10.9
218.,Spencer Dinwiddie,BAY,555,474,150.4,1.9,9.3,5.5,23.6,19.4,0.6,0.8,26.9,-2.6,1.4,103.0,118.1,-15.2,50.8,10.9
219.,Gur Lavy,MAC,696,671,182.2,6.5,12.9,9.6,4.7,22.1,1.6,0.7,14.5,-5.0,1.6,113.7,124.8,-11.1,35.0,10.7
220.,Tomer Ginat,HAP,482,488,96.1,3.1,21.2,12.6,10.6,11.2,2.4,0.8,18.7,0.0,1.1,98.5,105.9,-7.4,30.4,10.7
221.,Yam Madar,HAP,407,321,128.5,3.5,11.5,7.5,21.0,8.9,3.2,0.6,21.0,5.6,0.9,100.0,118.0,-18.0,34.4,10.6
222.,Justus Hollatz,BAY,561,532,160.4,5.5,11.6,8.5,25.7,27.5,2.9,0.0,10.5,5.5,1.2,115.3,113.8,1.5,114.4,10.5
223.,Shake Milton,PAR,523,466,153.6,3.3,6.7,5.0,21.6,16.6,1.4,0.8,20.4,1.7,1.2,105.4,119.0,-13.6,84.6,10.4
224.,Zac Seljaas,LYV,508,471,157.2,5.5,14.1,9.5,9.6,4.4,1.1,0.2,16.1,2.3,1.1,116.3,119.5,-3.1,157.4,10.4
225.,Juhann Begarin,ASM,509,468,146.4,7.6,14.2,11.0,8.0,8.8,1.2,1.7,17.3,0.2,1.1,109.0,118.7,-9.7,68.1,10.3
226.,Devon Hall,FEN,553,498,157.3,5.9,9.1,7.6,17.2,19.7,1.0,0.5,18.4,-0.6,1.3,109.5,115.9,-6.4,179.1,10.3
227.,Justin Anderson,DUB,623,588,175.0,4.5,11.6,8.2,8.3,11.5,1.0,2.3,11.2,1.0,1.4,125.5,121.0,4.5,171.3,10.2
228.,Khem Birch,FEN,664,632,131.4,12.5,18.5,15.6,4.2,25.5,1.0,2.2,11.2,-4.3,1.7,116.1,111.4,4.7,148.4,10.1
229.,Leopold Cavaliere,PAR,528,520,130.7,9.0,18.4,13.6,8.2,13.8,1.7,0.4,10.6,0.3,1.1,116.7,115.8,0.9,128.5,10.0
230.,Francesco Ferrari,BOL,525,400,137.8,11.1,18.0,14.5,8.3,10.4,0.0,2.0,11.8,0.9,1.4,122.9,127.0,-4.1,27.6,10.0
231.,Mikael Jantunen,FEN,572,504,161.1,8.1,14.5,11.5,5.5,12.7,1.3,1.1,13.9,-1.3,1.3,120.0,112.3,7.6,123.4,9.9
232.,Aleksej Pokusevski,PAR,503,495,171.8,4.2,19.2,11.2,6.6,10.8,1.9,2.8,16.3,-1.0,1.0,102.0,113.7,-11.7,68.1,9.8
233.,Gytis Radzevicius,BASK,607,582,171.3,6.4,11.6,8.9,5.2,7.6,0.8,0.4,11.0,0.4,1.3,128.2,126.3,1.9,90.5,9.8
234.,Sehmus Hazer,EFE,506,463,145.9,2.5,7.4,4.9,14.8,13.6,1.6,0.0,24.3,-1.3,1.1,98.9,121.1,-22.2,70.9,9.6
235.,Alberto Abalde,RMB,595,580,172.7,4.2,8.2,6.3,12.1,15.3,1.6,0.0,13.4,1.0,1.2,119.2,118.3,0.9,119.9,9.6
236.,Nick Calathes,PAR,441,431,122.8,2.8,14.2,8.3,34.2,22.8,2.5,0.4,15.9,7.1,0.9,99.5,115.3,-15.8,157.5,9.6
237.,Xavier Rathan-Mayes,BAY,446,415,131.0,2.4,12.9,7.5,21.5,11.8,1.6,0.7,29.4,0.9,1.0,94.6,116.3,-21.7,92.0,9.4
238.,Deividas Sirvydis,ZAL,497,463,159.2,3.6,11.6,7.6,11.2,11.6,1.5,0.6,18.4,0.3,1.1,106.3,115.3,-9.0,65.4,9.3
239.,Jabari Parker,PAR,490,445,163.1,4.7,13.8,8.9,5.8,9.9,0.8,0.4,21.9,-2.2,1.1,100.3,126.0,-25.7,44.1,9.3
240.,Yakuba Ouattara,PAR,512,489,153.3,4.9,9.1,6.9,10.2,12.3,1.2,0.8,17.1,-0.4,1.1,108.6,121.5,-12.9,117.8,9.2
241.,Mantas Rubstavicius,ZAL,561,500,179.8,3.6,13.6,8.8,6.2,12.6,0.8,0.0,20.5,-2.8,1.2,111.8,113.5,-1.6,11.5,9.2
